Toledot Yitzchak, Shemot 1	@11ואלה שמות איש וביתו באו @33רמז לשכינה שירדה עמהם איש זה הקב"ה שנאמר ה' איש מלחמה וביתו בית דינו. יש להקשות מה צורך להזכיר שמות השבטים שכבר הזכירם בסדר ויחי ואז"ל להודיע חיבתן שנמשלו לכוכבים שמוציאם במספר ומכניסם במספר שנא' המוציא במספר צבאם לכולם בשם יקרא מה שהמשילו הצדיקים לכוכבים ביציאה ובהכנסה לומר שהצדיקים אינם מתים אלא לפי הנראה שלפי האמת חיים הם שנפשותם גנוזות תחת כסא הכבוד ככוכבים שאינם נעדרים ביום אלא למראה בני אדם ומ"ש המוציא במספר צבאם הוא בלילה שמוציא הכוכבים לממשלת הלילה ומ"ש לכולם בשם יקרא הוא ביום שהקב"ה על השמים כבודו וכשקורא הכוכבים לשיבואו לפניו אין מאירים בעולם השפל שזהו ביום ורמז עוד לשלימות הצדיקים אחר מיתתם יותר מבעודם חיים שהלילה הוא המיתה והיום הוא החיים ובלילה שהוא מיתת הצדיקים מאירים יותר כמו שהכוכבים מאירים בלילה אבל ביום שהוא כשהצדיקים חיים אינם מאירים הארה שלימה כמו שהכוכבים אינם מאירים ביום: 	Exodus 1:1	
Toledot Yitzchak, Shemot 2	@11יוצאי ירך @33רמז לאבר המוליד הקרוב לירך כמו להסך את רגליו: 	Exodus 1:5	
Toledot Yitzchak, Shemot 3	@11שבעים נפש @33תחלת גלות ראשון ע' נפש ובסוף בגלות אחרון עתידים לירש שבעים אומות זה שכתוב ויוסף היה במצרים הזכירו בסוף לרמוז על משיח בן יוסף שעתיד לבוא באחרונה לגאול את ישראל: 	Exodus 1:5	
Toledot Yitzchak, Shemot 4	@11וימת יוסף ובני ישראל פרו @33זהו כמשל שאומרים משה מת ה' בשמים נשאר וכן בכאן וימת יוסף ובני ישראל פרו וישרצו. פירוש פרו שאינם עקרות וגם לא הפילו נשותיהן שהנפל אינו פרי ולפי שסבת מיעוט האנשים הוא שמתאחר העובר בבטן אמו תשעה חדשים לז"א וישרצו כשרצים שיולדות לג' חדשים: 	Exodus 1:6	
Toledot Yitzchak, Shemot 5	@11וירבו @33שהיו יולדות ששה ששה בכרס אחד והטבעיים נותנים טעם עד ז'. ור"א העיד שראה ד' בנים שילדה אחת ולפי שהנולדים תאומים על הרוב הם חלשים או האחד מהם והטעם שהכח שהיה הולך לעובר א' הולך לשנים וכל שכן אם הם ששה לזה אמר ויעצמו פי' גבורים ועצומים כמו שאמר ולאין אונים עצמה ירבה באופן שבמאוד הכמות שיולדות ששה ששה בכרס אחד היה העוצם והגבורה מאד וזהו שאמר במאד מאד באופן שא' מישראל שהיה הולך בשוק היה ממלא השוק וזהו שאמר ותמלא הארץ אותם: 	Exodus 1:7	
Toledot Yitzchak, Shemot 6	@11מלך חדש @33שלא היה מזרע המלוכה: 	Exodus 1:8	
Toledot Yitzchak, Shemot 7	@11אשר לא ידע את יוסף. @33במדרש הכופר בטובת חבירו סופו שיכפור בטובת הקב"ה דכתיב אשר לא ידע יוסף ובסוף לא ידעתי את ה' משל למה הדבר דומה לאחד שרגם איקונין של דוכוס אמר המלך התיזו ראשו למחר עושה בי כן: 	Exodus 1:8	
Toledot Yitzchak, Shemot 8	@11הבה נתחכמה @33שאל פילוסוף את ר"א לא אמר הנביא אל אדום המה יבנו ואני אהרוס וכל מה שבנינו קיים אמר לא דבר אלא כנגד העצות שאתם יועצים בכל שנה ושנה לכלותינו אמר ליה כך הוא שאנו יושבי' בכל שנה לכלותכם ואתי חד סבא ומבטל לן: 	Exodus 1:10	
Toledot Yitzchak, Shemot 9	@11ועלה מן הארץ @33נתחבטו המפרשים בזה שהיה ראוי שיאמר ועלינו מן הארץ ולזה צריך שנדע ששרי עיר מלאגה עשו בגידה גדולה למלאגה שנתפשרו עם מלך ספרד כשצר על העיר להלחם עליה לתפשה שיעזוב להם לצאת ממלאגה לשלום עם כל נכסיהם וימסרו לו העיר וכן עשו ואז לקח המלך לכל העיר לעבדים ולשפחות והשרים הלכו להם. ונראה לי שזהו מה שאמר והיה כי תקראנה מלחמה ונוסף גם הוא על שונאינו ויתפשרו עם הצר הצורר לנו ולהם ונלחם בנו ויהיה לנו מלחמה מבית ומחוץ ויתנו לנו לעבדים ולשפחות ויעלו הם בני חורין מן הארץ הזאת עם כל אשר להם זהו דעתי: 	Exodus 1:10	
Toledot Yitzchak, Shemot 10	@11ויאמר למילדות @33עם רב כזה יותר מת"ק מילדות היו צריכים אלא שאלו שרות עליהם לתת מס למלך מהשכר גם היום כן במקומות רבים: 	Exodus 1:16	
Toledot Yitzchak, Shemot 11	@11אבנים @33מגזרת בנים: 	Exodus 1:16	
Toledot Yitzchak, Shemot 12	@11מדוע עשיתן הדבר הזה ותאמרן המילדות אל פרעה כי לא כנשים המצריות העבריות כי חיות הנה. @33יש להקשות למה לא אמרו כן בפעם הראשונה שאז שתקו והודו שנראה שמה שאמרו עכשיו שקר שחשבו אח"כ. והתשובה שאמת הוא שהודו שהן מילדות אבל כשקרא להם בפעם שנית אמרו לא תחשוב שבנות ישראל הם כמצריות שהם פתיות אלא חריפות וכשידעו ששלחת בעבורינו הרגישו שהוא לשנהרוג בניהן ואינן קוראות אותנו ולא יולדות עמנו בטרם תבוא אליהם המילדת וילדו וחיות חכמות: 	Exodus 1:18	
Toledot Yitzchak, Shemot 13	@11וייטב אלהים למילדות וירב העם ויעצמו מאד ויהי כי יראו המילדות את האלהים ויעש להם בתים. @33ויש להקשות למה התחיל בהטבת המילדות והוא וייטב אלהים למילדות וסיים בטוב המילדות והוא ויעש להם בתים והפסיק בין אלו ההטבות עם הטבת בני ישראל והוא וירב העם ויעצמו מאד. והתשובה יש מלאכות שאם יש הרבה מהן יתעשרו בעליהן לזה אמר וייטב אלהים למילדות ומה היא ההטבה וירב העם מרויחות מאד בהיותן מילדות. או ירצה כי יראו המילדות את האלהים ולא הועיל עצתו בהן לקח עצה אחרת שהעמיד בית מצרי אחד בין שני בתי ישראל כדי שלא יוכלו להחביא הבנים: 	Exodus 1:20	
Toledot Yitzchak, Shemot 14	@11ותרא אותו כי טוב הוא ותצפנהו שלשה ירחים @33ידוע שכל הנשים בניהן טובים בעיניהם ומצילות אותם וא"כ למה נתן סבה שלפי שראתה כי טוב הוא ותצפנהו. והתשובה לפי שילדתו מבן ששה חדשים ויום אחד ואמרה אולי הוא נפל שהוא בן ששה חדשים ולמה אטרח להצפינו וכשראהו כי הוא שלם באיבריו וגמרו שערותיו וצפרניו אמרה אינו נפל וראוי להצילו ותצפנהו: 	Exodus 2:2	
Toledot Yitzchak, Shemot 15	@11ותקח לו תיבת גומא @33עשתה כן כי אמרה אל אראה במות הילד. או תחבולה לשיאמרו איצטגניני פרעה כבר הושלך מושיען ביאור ויחשבו שמת ותתבטל הגזירה וכן אמרו רז"ל מאשר ולא כל אשר. או מרים נבאת שתעשה כן לשיגדל בבית המלך להיותו גדול הנפש לא שפלה בבית עבדים ולזה הרג המצרי והושיע בנות מדין ועוד שאם יגדל בין אחיו לא היו יראים ממנו: 	Exodus 2:3	
Toledot Yitzchak, Shemot 16	@11ויפן כה וכה @33סיפרה התורה ג' מעשיות בענייניו. אחד וירא איש מצרי ויך את המצרי. שני והנה שני אנשים עברים נצים ויאמר לרשע למה תכה רעך. שלישי ולכהן מדין ז' בנות להודיע שמשה היה דיין בטבע ובעל משפט שלא די המצרי שהכה לישראל שהרגו אבל גם ישראל עם ישראל שהיו מריבין שלא הכריח לו יהדות שהאחד ישראל והאחד מצרי אבל עם היות ששניהם ישראלים אמר לרשע למה תכה ולא די אלו שהם בני ישראל אבל עם היות ששתי כתות גוים היה בעיניו העול שעושה זה לזה רע ויקם משה ויושיען: 	Exodus 2:12	
Toledot Yitzchak, Shemot 17	@11ויאכל לחם @33במדרש שלח לחמך זה יתרו. על פני המים זה משה שנאמר כי מן המים משיתיהו. כי ברוב הימים תמצאנו הוא שכתוב ויבא משה וכל זקני ישראל לאכל לחם וגו': 	Exodus 2:20	
Toledot Yitzchak, Shemot 18	@11ומשה היה רועה את צאן יתרו חותנו @33רועה בעבור שמדין קרובה למצרים ופחד משה מפרעה בחר אומנות בשדה שלא יכירוהו וגם העיון צריך התבודדות בשדה ולפי שאז"ל סתם רועה פסול לפי שמרעה בהמתו בשדות אחרים לזה אמר צאן יתרו חותנו שמה שאמרו רועה פסול דוקא רועה בהמתו אבל רועה של בהמות אחרים כשר ועוד שהיה נוהג הצאן אחר המדבר שהוא מקום שאין זורעים ואין לו בעלים ועוד שנהג הצאן אל מקום קדוש לשיבוא לו שפע אלהי וז"ש ויבא אל הר האלהים חורבה למקום חרב שאין שם בני אדם שיטרידו עיונו. וי"א ומה ראה משה ליטפל ביתרו עובד ע"ז אלא לפי שהיה ירא מפרעה ואין למלך יכולת על הכומרים ובחר בכומר שהיו לו בנות רבות כדי שיעשו לו זול ולא ידקדקו עמו: 	Exodus 3:1	
Toledot Yitzchak, Shemot 19	@11בוער באש מדוע לא יבער הסנה @33מכחיש זה את זה ובו ארבע תשובות אחד כתרגומו בוער באש בעיר באישתא ותרגום במדוע לא יבער הסנה לא מיתוקד וכמו שפירש הרמב"ן בוער כטעם דולק ומדוע לא יבער לא ישרף. פירוש שני מלשון בערתי הקדש והיה לבער. פירוש שלישי אחר שאינו אוכל אינו בוער שאם היה בוער היה אוכל וא"כ אע"פ שאני רואה אותו בוער אינו בוער וא"כ מדוע אינו בוער אחר שאני רואה אותו בוער. פי' רביעי מדוע הוא בטרחא וירצה מדוע לא אוכל וכי לא יבער הסנה והלא אני רואה אותו בוער: 	Exodus 3:2	
Toledot Yitzchak, Shemot 20	@11ויאמר משה אסורה נא ואראה @33יש להקשות איך ידע בהקרבה יותר ממקום רחוק. והתשובה שיש משיחה שמושחים האצבע בה ודולקין האצבע ודולק כנר עד שנתרף המשיחה והאצבע אינו נשרף ואני ראיתי נעורת דולק במים שרופים היא אגוא"ה ארדינט"י בלע"ז בראנד וויי"ן ובו להבה עד שכלו המים שרופים ונכב' ולא נשרפה הנעורת והיתה כבראשונה וכבר אז"ל שיש זאת הסגולה לסלמנדרא ולז"א אתקרב לסנה ואעיין בו אם יש בו אותה המשיחה וא"כ הוא דבר טבעי וא"ל אל תקרב הלום לראות אם הוא טבעי שאינו רק דרך נס ובזה הותר הספק שהכחיש בוער ללא יבער בפירוש חמישי שמה שאמר בוער באש הכוונה שהיה האש סביב כל ענף וענף מן הסנה ותמה מדוע אינו נכנס האש בתוך כל ענף לכלותו שאם יכנס בתוכו היה אוכל ומאחר שהאש בסנה מדוע לא נכנס בתוכו לשורפו: 	Exodus 3:3	
